tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'',,,Tweet,,,,,,2026-03-20 18:24:35,,,,,
'',,,Tweet,,,,,,2026-03-20 18:24:35,,,,,
'',,,Tweet,,,,,,2026-03-20 18:24:35,,,,,
'2034622541092814952',"Personal announcement about the direction I'm taking this account:

I've been writing regularly here for something like eight years now.

It started one morning when I woke up and told myself: what if I started to journal online and wrote a few posts in English every day? This shouldn't be difficult as long as I'm living a life worth writing about. I'll probably get more eloquent in the process, improve my English, and potentially make some friends.

On the small desk of my old share-house room in Tokyo, there was a computer, an orange, and a few books.

That’s how “Orange Book” was born.

My writing probably evolved quite a lot throughout the years, but the core idea has always been “write what you want/need to read” and “self-reflect on your own unique experiences, find your own words, write them down, and maybe they will resonate with a few other people out there as well.”

I value my own privacy, so I naturally decided to create a faceless account, write in an impersonal voice, and leave aside most of the details of my personal life. I also didn’t want to spoil my own intergenerational novel that I'd been working on for many years now that is based on the stories of my family.

Unfortunately, it also increasingly felt like I was writing in a voice that AI could replicate anytime; but also, after iterating on so many different drafts of my book, I slowly understood that the “final version” was going to take a very different shape.

It has many characters, many locations, many perspectives, many voices that aren’t mine, and it was getting obvious that a lot of the details of my personal journey that I had kept “secret” were never going to make it to the book anyway, so I thought I might as well share them with the people who wanted to know.

Going forward, I am shifting most of my writing to the subscription space, and although the topics will remain similar - health, wealth, education, relationships, talent, purpose, and more recently, parenting - I will adopt a much more personal voice, far closer to who I am in real life, and hope to attract readers who care more about the real-life stories than the lessons I once extracted from them.

Recently, it sometimes felt like I was becoming a caricature of myself anyway, and people who have been following me for many years probably noticed how my output had been decreasing. I tried to renew myself as a writer last year by interviewing other people, but it turns out that I am more of an essayist than a journalist; and hopefully, I’ll be able to call myself a novelist soon.

After nearly 15,000 public tweets, I’m making a shift towards pursuing a much more personal and authentic voice on this platform.

Big thanks to all the people who have been reading me throughout the years, I’m very grateful for the connections I’ve made here, and I hope to see some of you on the other side.

Orange Book",en,Tweet,138,706,17,29,50077,2026-03-19 09:26:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2034190171940507852',"Thoughtful people who don’t have the courage to cut ties with people who only care about themselves get drained out of their positive energy as the years pass, and never strike any meaningful success or get lucky regardless of how talented and hard-working they might be:",en,Tweet,103,335,36,14,33687,2026-03-18 04:48:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2033216544902377718',"Most people waste too much time explaining themselves to people who never had their best interests at heart. Time explaining what you do is time not doing it. You want to get things done, you need to learn how to ignore most of the world:",en,Tweet,106,387,40,38,16164,2026-03-15 12:19:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2033337591534399864',"@Boluwatifeolad7 Thank you so much for the kind words and for reading during all these years, really appreciate! 🧡",en,Reply,0,0,0,1,121,2026-03-15 20:20:34,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,
'2033174807966339462',"Too many people talk about ""conviction"" when they are actually just too intellectually lazy to question the current course of their life trajectory. If the years pass and life isn't getting better at all, it's not conviction, it's wishful thinking that needs to stop:",en,Tweet,43,192,23,21,11971,2026-03-15 09:33:43,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2033174820133962095',"Any long-term success involves countless iterations of yourself, and more unlearning and relearning that you can recall, and the compass to be trusted is internal: when you are in the right direction, your mind should get calmer, envy should disappear, and you should be able to question your current self without doubting who you could become.",en,Reply,8,21,4,0,1050,2026-03-15 09:33:46,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
'2032789467778658775',Money doesn't change people; a lack of principles and character does:,en,Tweet,62,313,33,21,38817,2026-03-14 08:02:31,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,
